intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 301,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 302,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 303,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 304,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 305,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 306,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 307,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 308,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 309,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 310,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 311,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 312,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 313,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 314,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 315,750,1,2,3,4,1,1,TRUE,FALSE
intrebare 316,750,1,2,3,4,3,3,TRUE,FALSE
intrebare 317,750,1,2,3,4,1,1,TRUE,FALSE

