intrebare?,punctaj,raspuns 1,raspuns 2,raspuns 3,raspuns 4,raspuns corect,index,render,correct
intrebare 265,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 266,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 267,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 268,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 269,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 270,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 271,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 272,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 273,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 274,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 275,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 276,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 277,1000,1,2,3,4,3,3,TRUE,FALSE
intrebare 278,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 279,1000,1,2,3,4,1,1,TRUE,FALSE
intrebare 280,1000,1,2,3,4,3,3,TRUE,FALSE
